Family,Genome,Protein,Genus,Species,Classifier
AA1,GCF_004355905.1,XP_030976529.1,Magnaporthe,grisea,dbCAN
GT71,GCA_012552325.1,KAF4147380.1,Phytophthora,infestans,dbCAN
PL14,GCA_900080155.1,SAM70805.1,Ustilago,bromivora,dbCAN
GH20,GCF_004355905.1,XP_030982702.1,Magnaporthe,grisea,dbCAN
GH43,GCA_003615155.1,RKL13804.1,Fusarium,oxysporum,dbCAN
GH31,GCA_003615115.1,RKK79408.1,Fusarium,oxysporum,dbCAN
PL1,GCA_000509525.1,ETM38047.1,Phytophthora,parasitica,dbCAN
GH72,GCA_003615165.1,RKK81988.1,Fusarium,oxysporum,dbCAN
GH43,GCF_000149755.1,XP_009530916.1,Phytophthora,sojae,dbCAN
GT71,GCA_004346965.1,QBZ65296.1,Magnaporthe,oryzae,CAZy
GT5,GCA_900096695.1,SCO91280.1,Fusarium,oxysporum,dbCAN
GT48,GCA_012552325.1,KAF4136236.1,Phytophthora,infestans,dbCAN
GH43,GCA_003615215.1,RKL21440.1,Fusarium,proliferatum,dbCAN
CE1,GCA_012656115.1,KAF4284345.1,Aspergillus,fumigatus,dbCAN
GH5,GCA_002234955.1,OXN23852.1,Aspergillus,fumigatus,dbCAN
AA1,GCA_004346965.1,QBZ58341.1,Magnaporthe,oryzae,CAZy
PL1,GCA_003615155.1,RKL16002.1,Fusarium,oxysporum,dbCAN
GH16,GCA_003615215.1,RKL47798.1,Fusarium,proliferatum,dbCAN
CBM1,GCA_012656165.1,KAF4275935.1,Aspergillus,fumigatus,dbCAN
GT71,GCA_000509465.1,ETK95090.1,Phytophthora,parasitica,dbCAN
GH38,GCA_001078535.1,CCI41300.1,Albugo,candida,dbCAN
AA3,GCF_000002855.3,XP_001401665.1,Aspergillus,niger,dbCAN
GH0,GCA_001515345.1,GAQ46306.1,Aspergillus,niger,dbCAN
CE5,GCF_004355905.1,XP_030986721.1,Magnaporthe,grisea,dbCAN
GT60,GCF_000149755.1,XP_009537364.1,Phytophthora,sojae,dbCAN
GT62,GCA_003615215.1,RKL48688.1,Fusarium,proliferatum,dbCAN
GH1,GCF_000149755.1,XP_009525991.1,Phytophthora,sojae,dbCAN
GT58,GCA_003615185.1,RKL40881.1,Fusarium,oxysporum,dbCAN
AA1,GCA_001515345.1,GAQ35921.1,Aspergillus,niger,dbCAN
GH16,GCF_004355905.1,XP_030985701.1,Magnaporthe,grisea,dbCAN
GH1,GCA_003615155.1,RKL09552.1,Fusarium,oxysporum,dbCAN
GH92,GCA_002838845.1,PKK46507.1,Trichoderma,harzianum,dbCAN
GT15,GCA_900074905.1,CZT08569.1,Rhynchosporium,agropyri,dbCAN
PL1,GCA_012656215.1,KAF4251927.1,Aspergillus,fumigatus,dbCAN
GH55,GCA_003615165.1,RKK92783.1,Fusarium,oxysporum,dbCAN
CE1,GCA_900096695.1,SCO92193.1,Fusarium,oxysporum,dbCAN
GH76,GCA_002352725.1,PCD17875.1,Fusarium,graminearum,dbCAN
GH12,GCF_003025115.1,XP_024745924.1,Trichoderma,citrinoviride,dbCAN
GH11,GCA_004346965.1,QBZ60001.1,Magnaporthe,oryzae,CAZy
GH28,GCA_012656115.1,KAF4290242.1,Aspergillus,fumigatus,dbCAN
GH28,GCA_001515345.1,GAQ46436.1,Aspergillus,niger,dbCAN
PL3,GCF_004355905.1,XP_030987530.1,Magnaporthe,grisea,dbCAN
CE5,GCA_004346965.1,QBZ54783.1,Magnaporthe,oryzae,dbCAN
GH38,GCA_004346965.1,QBZ60926.1,Magnaporthe,oryzae,CAZy
GH2,GCA_003615165.1,RKK91258.1,Fusarium,oxysporum,dbCAN
GH76,GCA_000988865.1,KKP07266.1,Trichoderma,harzianum,dbCAN
GH32,GCF_004355905.1,XP_030985702.1,Magnaporthe,grisea,dbCAN
GH10,GCA_002234985.1,OXN06169.1,Aspergillus,fumigatus,dbCAN
GH35,GCA_003615165.1,RKK88113.1,Fusarium,oxysporum,dbCAN
GH47,GCA_900074885.1,CZS89915.1,Rhynchosporium,commune,dbCAN
GT90,GCA_002234985.1,OXN03513.1,Aspergillus,fumigatus,dbCAN
GH6,GCA_012552325.1,KAF4132866.1,Phytophthora,infestans,dbCAN
CE5,GCA_003615185.1,RKL33825.1,Fusarium,oxysporum,dbCAN
CE8,GCF_000149755.1,XP_009533509.1,Phytophthora,sojae,dbCAN
AA3,GCA_002838845.1,PKK48999.1,Trichoderma,harzianum,dbCAN
GH55,GCA_900074885.1,CZS93280.1,Rhynchosporium,commune,dbCAN
GH5,GCA_900096695.1,SCO92103.1,Fusarium,oxysporum,dbCAN
GH12,GCA_000599445.1,EYB30365.1,Fusarium,graminearum,dbCAN
GH53,GCA_002234955.1,OXN24765.1,Aspergillus,fumigatus,dbCAN
GH55,GCA_012656115.1,KAF4292477.1,Aspergillus,fumigatus,dbCAN
GH93,GCA_900074895.1,CZT42683.1,Rhynchosporium,secalis,dbCAN
CE5,GCA_900074885.1,CZS91403.1,Rhynchosporium,commune,dbCAN
GH43,GCA_012656215.1,KAF4253570.1,Aspergillus,fumigatus,dbCAN
PL1,GCA_012656125.1,KAF4280742.1,Aspergillus,fumigatus,dbCAN
GH3,GCA_012656165.1,KAF4274549.1,Aspergillus,fumigatus,dbCAN
GH81,GCA_002838845.1,PKK43041.1,Trichoderma,harzianum,dbCAN
GT34,GCA_000988865.1,KKP02588.1,Trichoderma,harzianum,dbCAN
AA1,GCA_002352725.1,PCD24439.1,Fusarium,graminearum,dbCAN
GH43,GCA_900074905.1,CZT06696.1,Rhynchosporium,agropyri,dbCAN
AA3,GCA_001515345.1,GAQ46489.1,Aspergillus,niger,dbCAN
GT15,GCA_900248155.1,SPB47842.1,Aspergillus,niger,dbCAN
GH5,GCA_000509485.1,ETL30142.1,Phytophthora,parasitica,dbCAN
GT1,GCA_900074905.1,CZS90925.1,Rhynchosporium,agropyri,dbCAN
GT62,GCF_003025115.1,XP_024751998.1,Trichoderma,citrinoviride,dbCAN
GT90,GCA_003615215.1,RKL29967.1,Fusarium,proliferatum,dbCAN
GH28,GCA_000599445.1,EYB28996.1,Fusarium,graminearum,dbCAN
GH78,GCA_001515345.1,GAQ33901.1,Aspergillus,niger,dbCAN
GH132,GCA_002894145.1,PNP58152.1,Trichoderma,harzianum,dbCAN
GH17,GCA_001078535.1,CCI47983.1,Albugo,candida,dbCAN
GT2,GCA_003615215.1,RKL42624.1,Fusarium,proliferatum,dbCAN
GT69,GCA_002352725.1,PCD27955.1,Fusarium,graminearum,dbCAN
AA9,GCA_900074885.1,CZS99938.1,Rhynchosporium,commune,dbCAN
GH131,GCF_004355905.1,XP_030985852.1,Magnaporthe,grisea,dbCAN
GH3,GCA_000988865.1,KKP07011.1,Trichoderma,harzianum,dbCAN
PL1,GCA_012552325.1,KAF4143357.1,Phytophthora,infestans,dbCAN
GH43,GCA_900074895.1,CZT44653.1,Rhynchosporium,secalis,dbCAN
PL1,GCA_003290285.1,RBA14946.1,Fusarium,proliferatum,dbCAN
GH125,GCA_900096695.1,SCO89520.1,Fusarium,oxysporum,dbCAN
GT71,GCA_012552325.1,KAF4147383.1,Phytophthora,infestans,dbCAN
GH132,GCA_000988865.1,KKP05047.1,Trichoderma,harzianum,dbCAN
AA3,GCA_900074905.1,CZT12538.1,Rhynchosporium,agropyri,dbCAN
GH43,GCA_002211485.2,TPR08000.1,Aspergillus,niger,dbCAN
AA14,GCA_900044135.1,CEF78948.1,Fusarium,graminearum,CAZy
CBM35,GCA_900044135.1,CEF86826.1,Fusarium,graminearum,CAZy
GH43,GCA_002234985.1,OXN03762.1,Aspergillus,fumigatus,dbCAN
CBM67,GCA_012656165.1,KAF4269493.1,Aspergillus,fumigatus,dbCAN
GH76,GCA_003615115.1,RKK88169.1,Fusarium,oxysporum,dbCAN
GH24,GCA_900096695.1,SCO82653.1,Fusarium,oxysporum,dbCAN
GT15,GCA_900074885.1,CZS89684.1,Rhynchosporium,commune,dbCAN
GH35,GCA_012656125.1,KAF4286550.1,Aspergillus,fumigatus,dbCAN
AA4,GCA_900080155.1,SAM85895.1,Ustilago,bromivora,dbCAN
CBM63,GCA_003615185.1,RKL16348.1,Fusarium,oxysporum,dbCAN
GT2,GCA_003290285.1,RBA12678.1,Fusarium,proliferatum,dbCAN
AA3,GCA_004346965.1,QBZ59383.1,Magnaporthe,oryzae,CAZy
GH75,GCA_002894145.1,PNP56856.1,Trichoderma,harzianum,dbCAN
PL3,GCA_900029915.1,CVL00486.1,Fusarium,proliferatum,dbCAN
GH3,GCA_003290285.1,RBA17537.1,Fusarium,proliferatum,dbCAN
AA11,GCA_003290285.1,RBA09796.1,Fusarium,proliferatum,dbCAN
GH55,GCA_002894145.1,PNP56225.1,Trichoderma,harzianum,dbCAN
CBM35,GCA_002352725.1,PCD31908.1,Fusarium,graminearum,dbCAN
GH89,GCA_002838845.1,PKK54392.1,Trichoderma,harzianum,dbCAN
CBM1,GCA_003615215.1,RKL37157.1,Fusarium,proliferatum,dbCAN
GH72,GCA_012295175.1,KAF4032259.1,Phytophthora,infestans,dbCAN
GH12,GCA_012295175.1,KAF4031253.1,Phytophthora,infestans,dbCAN
GH71,GCA_002234955.1,OXN25738.1,Aspergillus,fumigatus,dbCAN
GT2,GCA_900080155.1,SAM77723.1,Ustilago,bromivora,dbCAN
PL1,GCA_000509465.1,ETK83391.1,Phytophthora,parasitica,dbCAN
GH114,GCA_002894145.1,PNP59447.1,Trichoderma,harzianum,dbCAN
GT2,GCA_003615115.1,RKK76252.1,Fusarium,oxysporum,dbCAN
AA1,GCA_000599445.1,EYB31344.1,Fusarium,graminearum,dbCAN
GT15,GCA_002211485.2,TPR08792.1,Aspergillus,niger,dbCAN
GH28,GCA_003615215.1,RKL38447.1,Fusarium,proliferatum,dbCAN
CBM1,GCA_900074885.1,CZS88001.1,Rhynchosporium,commune,dbCAN
GH131,GCA_900074895.1,CZT41474.1,Rhynchosporium,secalis,dbCAN
GT20,GCA_000509485.1,ETL36570.1,Phytophthora,parasitica,dbCAN
GT31,GCA_900096695.1,SCO80735.1,Fusarium,oxysporum,dbCAN
GH36,GCA_003615165.1,RKL08492.1,Fusarium,oxysporum,dbCAN
GH16,GCA_002894145.1,PNP51541.1,Trichoderma,harzianum,dbCAN
GH93,GCA_012656185.1,KAF4262136.1,Aspergillus,fumigatus,dbCAN
GH18,GCA_002894145.1,PNP60001.1,Trichoderma,harzianum,dbCAN
CE5,GCA_012552325.1,KAF4127787.1,Phytophthora,infestans,dbCAN
CBM35,GCA_900080155.1,SAM81871.1,Ustilago,bromivora,CAZy
GH3,GCA_003615215.1,RKL43547.1,Fusarium,proliferatum,dbCAN
GH7,GCA_900074895.1,CZT53202.1,Rhynchosporium,secalis,dbCAN
CE12,GCA_003615215.1,RKL50867.1,Fusarium,proliferatum,dbCAN
GH27,GCA_002211485.2,TPR04732.1,Aspergillus,niger,dbCAN
GT57,GCA_000509465.1,ETK89498.1,Phytophthora,parasitica,dbCAN
GT1,GCA_000509505.1,ETL79389.1,Phytophthora,parasitica,dbCAN
GT71,GCA_900080155.1,SAM81760.1,Ustilago,bromivora,CAZy
GH10,GCA_002234985.1,OXN06064.1,Aspergillus,fumigatus,dbCAN
GT69,GCA_000988865.1,KKP02552.1,Trichoderma,harzianum,dbCAN
GH79,GCA_002838845.1,PKK50928.1,Trichoderma,harzianum,dbCAN
GT1,GCA_900044135.1,CEF79334.1,Fusarium,graminearum,CAZy
GH31,GCA_002838845.1,PKK53707.1,Trichoderma,harzianum,dbCAN
GH17,GCA_004346965.1,QBZ63585.1,Magnaporthe,oryzae,dbCAN
AA3,GCA_900029915.1,CVK85434.1,Fusarium,proliferatum,dbCAN
GH32,GCA_900096695.1,SCO88988.1,Fusarium,oxysporum,dbCAN
AA5,GCA_003615215.1,RKL46020.1,Fusarium,proliferatum,dbCAN
AA9,GCA_003615115.1,RKK82302.1,Fusarium,oxysporum,dbCAN
CE3,GCA_000599445.1,EYB22918.1,Fusarium,graminearum,dbCAN
GH28,GCA_012656125.1,KAF4281634.1,Aspergillus,fumigatus,dbCAN
GH115,GCA_900074895.1,CZT52422.1,Rhynchosporium,secalis,dbCAN
GH2,GCA_002352725.1,PCD28573.1,Fusarium,graminearum,dbCAN
GH7,GCA_001078535.1,CCI10223.1,Albugo,candida,dbCAN
AA9,GCF_004355905.1,XP_030982563.1,Magnaporthe,grisea,dbCAN
GH28,GCA_003615115.1,RKK75416.1,Fusarium,oxysporum,dbCAN
GT1,GCA_900044135.1,CEF86870.1,Fusarium,graminearum,CAZy
AA9,GCA_900044135.1,CEF87657.1,Fusarium,graminearum,dbCAN
GH3,GCA_002894145.1,PNP50557.1,Trichoderma,harzianum,dbCAN
AA1,GCF_004355905.1,XP_030983298.1,Magnaporthe,grisea,dbCAN
GH1,GCA_012552325.1,KAF4147290.1,Phytophthora,infestans,dbCAN
GH43,GCA_004346965.1,QBZ58095.1,Magnaporthe,oryzae,CAZy
AA6,GCA_012552325.1,KAF4127749.1,Phytophthora,infestans,dbCAN
GH13,GCA_000599445.1,EYB21690.1,Fusarium,graminearum,dbCAN
GH31,GCF_000002855.3,XP_001399012.1,Aspergillus,niger,dbCAN
GH32,GCA_001515345.1,GAQ45666.1,Aspergillus,niger,dbCAN
GT59,GCA_003615215.1,RKL49745.1,Fusarium,proliferatum,dbCAN
GH51,GCA_003615215.1,RKL43327.1,Fusarium,proliferatum,dbCAN
GH128,GCA_002352725.1,PCD28139.1,Fusarium,graminearum,dbCAN
CE9,GCA_003615155.1,RKL09763.1,Fusarium,oxysporum,dbCAN
GT2,GCA_012656215.1,KAF4258321.1,Aspergillus,fumigatus,dbCAN
GH30,GCA_012656185.1,KAF4253532.1,Aspergillus,fumigatus,dbCAN
GH1,GCA_000509505.1,ETL79170.1,Phytophthora,parasitica,dbCAN
GT90,GCA_900044135.1,CEF75656.1,Fusarium,graminearum,dbCAN
AA16,GCA_003615165.1,RKL05488.1,Fusarium,oxysporum,dbCAN
AA12,GCF_004355905.1,XP_030977367.1,Magnaporthe,grisea,dbCAN
GH13,GCA_900096695.1,SCO78231.1,Fusarium,oxysporum,dbCAN
CE8,GCA_002234955.1,OXN26492.1,Aspergillus,fumigatus,dbCAN
CBM18,GCA_900074885.1,CZT13865.1,Rhynchosporium,commune,dbCAN
GH72,GCA_000509505.1,ETL95178.1,Phytophthora,parasitica,dbCAN
CE5,GCA_000599445.1,EYB22560.1,Fusarium,graminearum,dbCAN
GH3,GCA_003615155.1,RKK99405.1,Fusarium,oxysporum,dbCAN
CBM1,GCA_900044135.1,CEF75329.1,Fusarium,graminearum,CAZy
GH2,GCA_900044135.1,CEF84800.1,Fusarium,graminearum,CAZy
CBM24,GCA_012656115.1,KAF4293015.1,Aspergillus,fumigatus,dbCAN
GT4,GCA_900096695.1,SCO88580.1,Fusarium,oxysporum,dbCAN
GT2,GCA_900096695.1,SCO82714.1,Fusarium,oxysporum,dbCAN
GH16,GCF_000149755.1,XP_009535227.1,Phytophthora,sojae,dbCAN
AA3,GCA_004346965.1,QBZ59729.1,Magnaporthe,oryzae,CAZy
GT71,GCF_900000015.1,XP_024585200.1,Plasmopara,halstedii,dbCAN
GT17,GCA_003615115.1,RKK77885.1,Fusarium,oxysporum,dbCAN
CE3,GCA_002838845.1,PKK41353.1,Trichoderma,harzianum,dbCAN
GH16,GCA_003615215.1,RKL45634.1,Fusarium,proliferatum,dbCAN
CBM20,GCA_012656185.1,KAF4262263.1,Aspergillus,fumigatus,dbCAN
CE16,GCA_012656125.1,KAF4284508.1,Aspergillus,fumigatus,dbCAN
GT2,GCA_003615185.1,RKL43783.1,Fusarium,oxysporum,dbCAN
GH5,GCA_000509505.1,ETL91924.1,Phytophthora,parasitica,dbCAN
PL27,GCF_000002855.3,XP_001400766.1,Aspergillus,niger,dbCAN
GH76,GCA_003615215.1,RKL25344.1,Fusarium,proliferatum,dbCAN
AA3,GCA_900044135.1,CEF86690.1,Fusarium,graminearum,dbCAN
GH71,GCA_003615185.1,RKL52060.1,Fusarium,oxysporum,dbCAN
GH32,GCA_900074895.1,CZT44451.1,Rhynchosporium,secalis,dbCAN
CE5,GCA_900096695.1,SCO91512.1,Fusarium,oxysporum,dbCAN
GH92,GCA_001515345.1,GAQ41601.1,Aspergillus,niger,dbCAN
GH43,GCA_900096695.1,SCO76402.1,Fusarium,oxysporum,dbCAN
PL4,GCA_003615185.1,RKL51459.1,Fusarium,oxysporum,dbCAN
CBM18,GCA_004346965.1,QBZ63121.1,Magnaporthe,oryzae,CAZy
GH76,GCF_000002855.3,XP_001399407.2,Aspergillus,niger,dbCAN
GT2,GCA_003615115.1,RKK65840.1,Fusarium,oxysporum,dbCAN
CE3,GCA_900029915.1,CVL03596.1,Fusarium,proliferatum,dbCAN
AA3,GCA_001515345.1,GAQ42376.1,Aspergillus,niger,dbCAN
CBM32,GCA_003615165.1,RKL03260.1,Fusarium,oxysporum,dbCAN
GH16,GCA_003290285.1,RBA10127.1,Fusarium,proliferatum,dbCAN
GH81,GCA_001078535.1,CCI40267.1,Albugo,candida,dbCAN
AA9,GCA_003290285.1,RBA17177.1,Fusarium,proliferatum,dbCAN
GH28,GCA_001515345.1,GAQ40478.1,Aspergillus,niger,dbCAN
CE4,GCA_900044135.1,SCB64060.1,Fusarium,graminearum,dbCAN
GT58,GCA_900044135.1,CEF85199.1,Fusarium,graminearum,CAZy
GH17,GCF_003025115.1,XP_024747268.1,Trichoderma,citrinoviride,dbCAN
PL3,GCA_012295175.1,KAF4033685.1,Phytophthora,infestans,dbCAN
GH51,GCA_012656185.1,KAF4257972.1,Aspergillus,fumigatus,dbCAN
GT39,GCA_900248155.1,SPB47446.1,Aspergillus,niger,dbCAN
AA3,GCA_900248155.1,SPB47877.1,Aspergillus,niger,dbCAN
GT20,GCA_000509505.1,ETL87738.1,Phytophthora,parasitica,dbCAN
AA3,GCA_004346965.1,QBZ66676.1,Magnaporthe,oryzae,dbCAN
GH16,GCA_000509505.1,ETL91057.1,Phytophthora,parasitica,dbCAN
GH3,GCA_900080155.1,SAM69052.1,Ustilago,bromivora,CAZy
CBM1,GCA_002234985.1,OXN02320.1,Aspergillus,fumigatus,dbCAN
GH0,GCA_003615185.1,RKL29315.1,Fusarium,oxysporum,dbCAN
GH16,GCA_900074885.1,CZT12059.1,Rhynchosporium,commune,dbCAN
GH72,GCA_900080155.1,SAM80436.1,Ustilago,bromivora,CAZy
GT8,GCA_012656165.1,KAF4266296.1,Aspergillus,fumigatus,dbCAN
GH3,GCA_003615185.1,RKL35137.1,Fusarium,oxysporum,dbCAN
AA16,GCA_004346965.1,QBZ63108.1,Magnaporthe,oryzae,CAZy
GH28,GCA_002234985.1,OXN11141.1,Aspergillus,fumigatus,dbCAN
GT71,GCA_001078535.1,CCI49239.1,Albugo,candida,dbCAN
GH10,GCA_900044135.1,CEF88696.1,Fusarium,graminearum,CAZy
GH32,GCA_900044135.1,CEF78056.1,Fusarium,graminearum,dbCAN
AA1,GCA_900074905.1,CZT07190.1,Rhynchosporium,agropyri,dbCAN
GH55,GCF_003025115.1,XP_024746680.1,Trichoderma,citrinoviride,dbCAN
GT1,GCA_900029915.1,CVL01523.1,Fusarium,proliferatum,dbCAN
PL1,GCA_000509525.1,ETM38015.1,Phytophthora,parasitica,dbCAN
CE8,GCA_004346965.1,QBZ65529.1,Magnaporthe,oryzae,dbCAN
GH16,GCA_002234985.1,OXN11270.1,Aspergillus,fumigatus,dbCAN
GH1,GCF_000002855.3,XP_001390255.1,Aspergillus,niger,dbCAN
GT4,GCA_000509465.1,ETK88446.1,Phytophthora,parasitica,dbCAN
GH43,GCA_003615215.1,RKL44960.1,Fusarium,proliferatum,dbCAN
GH18,GCA_003615185.1,RKL45335.1,Fusarium,oxysporum,dbCAN
GH13,GCA_003615155.1,RKL07739.1,Fusarium,oxysporum,dbCAN
GH0,GCA_900029915.1,CVK83771.1,Fusarium,proliferatum,dbCAN
CBM24,GCA_003290285.1,RBA17533.1,Fusarium,proliferatum,dbCAN
CE5,GCA_001515345.1,GAQ45821.1,Aspergillus,niger,dbCAN
AA1,GCA_000509505.1,ETL94253.1,Phytophthora,parasitica,dbCAN
GT2,GCA_001515345.1,GAQ43050.1,Aspergillus,niger,dbCAN
GT32,GCA_900248155.1,SPB46646.1,Aspergillus,niger,dbCAN
CBM1,GCA_003615115.1,RKK74599.1,Fusarium,oxysporum,dbCAN
GT1,GCF_003025115.1,XP_024746030.1,Trichoderma,citrinoviride,dbCAN
GH31,GCA_000509485.1,ETL39223.1,Phytophthora,parasitica,dbCAN
GH12,GCA_003615155.1,RKL04446.1,Fusarium,oxysporum,dbCAN
CE9,GCA_012656185.1,KAF4268357.1,Aspergillus,fumigatus,dbCAN
AA11,GCA_900029915.1,CVL05473.1,Fusarium,proliferatum,dbCAN
GH3,GCA_900074885.1,CZT05507.1,Rhynchosporium,commune,dbCAN
GH72,GCA_900096695.1,SCO82227.1,Fusarium,oxysporum,dbCAN
GT20,GCA_000509465.1,ETK74606.1,Phytophthora,parasitica,dbCAN
GT71,GCA_001078535.1,CCI40943.1,Albugo,candida,dbCAN
GT7,GCA_000509525.1,ETM36202.1,Phytophthora,parasitica,dbCAN
GH43,GCA_012656215.1,KAF4277885.1,Aspergillus,fumigatus,dbCAN
GH132,GCA_012656115.1,KAF4295448.1,Aspergillus,fumigatus,dbCAN
GH28,GCA_001078535.1,CCI41871.1,Albugo,candida,dbCAN
GH47,GCA_002352725.1,PCD39595.1,Fusarium,graminearum,dbCAN
GH53,GCF_004355905.1,XP_030977143.1,Magnaporthe,grisea,dbCAN
GT59,GCA_003615155.1,RKK98067.1,Fusarium,oxysporum,dbCAN
GH71,GCA_001515345.1,GAQ47349.1,Aspergillus,niger,dbCAN
CE4,GCA_003615185.1,RKL30033.1,Fusarium,oxysporum,dbCAN
GH5,GCA_012656215.1,KAF4264426.1,Aspergillus,fumigatus,dbCAN
GH13,GCF_000002855.3,XP_001395328.2,Aspergillus,niger,dbCAN
GH31,GCA_002234985.1,OXN09335.1,Aspergillus,fumigatus,dbCAN
GH55,GCF_003025115.1,XP_024744749.1,Trichoderma,citrinoviride,dbCAN
GH64,GCA_004346965.1,QBZ65119.1,Magnaporthe,oryzae,dbCAN
GH5,GCA_900029915.1,CVL05686.1,Fusarium,proliferatum,dbCAN
GT20,GCA_000509505.1,ETM02454.1,Phytophthora,parasitica,dbCAN
CE4,GCA_003290285.1,RBA17745.1,Fusarium,proliferatum,dbCAN
GH71,GCA_003615115.1,RKK83790.1,Fusarium,oxysporum,dbCAN
GH30,GCA_012552325.1,KAF4139427.1,Phytophthora,infestans,dbCAN
AA11,GCA_003615165.1,RKK79944.1,Fusarium,oxysporum,dbCAN
GH30,GCA_000509485.1,ETL45015.1,Phytophthora,parasitica,dbCAN
GT58,GCA_000509485.1,ETL28265.1,Phytophthora,parasitica,dbCAN
GH16,GCA_002352725.1,PCD34015.1,Fusarium,graminearum,dbCAN
GH30,GCF_900000015.1,XP_024577159.1,Plasmopara,halstedii,dbCAN
GH18,GCA_900074905.1,CZT04012.1,Rhynchosporium,agropyri,dbCAN
GT15,GCA_012656115.1,KAF4295195.1,Aspergillus,fumigatus,dbCAN
GH43,GCA_012656165.1,KAF4255210.1,Aspergillus,fumigatus,dbCAN
GH106,GCA_900248155.1,SPB51276.1,Aspergillus,niger,dbCAN
GH16,GCA_900080155.1,SAM85435.1,Ustilago,bromivora,dbCAN
GH6,GCF_000002855.3,XP_001395308.1,Aspergillus,niger,dbCAN
AA3,GCF_000002855.3,XP_001396759.1,Aspergillus,niger,dbCAN
GH3,GCA_002211485.2,TPR04711.1,Aspergillus,niger,dbCAN
GH76,GCF_000002855.3,XP_001389075.2,Aspergillus,niger,dbCAN
GT66,GCA_000599445.1,EYB30734.1,Fusarium,graminearum,dbCAN
GT8,GCA_900074895.1,CZT44233.1,Rhynchosporium,secalis,dbCAN
GH15,GCA_002234955.1,OXN23749.1,Aspergillus,fumigatus,dbCAN
GT3,GCA_002894145.1,PNP54933.1,Trichoderma,harzianum,dbCAN
GH76,GCF_003025115.1,XP_024751955.1,Trichoderma,citrinoviride,dbCAN
GH3,GCA_012552325.1,KAF4139372.1,Phytophthora,infestans,dbCAN
GT21,GCA_000599445.1,EYB32998.1,Fusarium,graminearum,dbCAN
GT31,GCA_002894145.1,PNP45379.1,Trichoderma,harzianum,dbCAN
AA9,GCA_003615215.1,RKL32597.1,Fusarium,proliferatum,dbCAN
AA4,GCA_900074895.1,CZT43753.1,Rhynchosporium,secalis,dbCAN
GT22,GCA_003615165.1,RKK95058.1,Fusarium,oxysporum,dbCAN
GT71,GCF_000149755.1,XP_009528072.1,Phytophthora,sojae,dbCAN
AA4,GCA_900044135.1,CEF88561.1,Fusarium,graminearum,dbCAN
GH3,GCA_003290285.1,RBA14901.1,Fusarium,proliferatum,dbCAN
AA3,GCA_900248155.1,SPB49010.1,Aspergillus,niger,dbCAN
GH105,GCA_003615215.1,RKL37932.1,Fusarium,proliferatum,dbCAN
GH53,GCA_012656125.1,KAF4279937.1,Aspergillus,fumigatus,dbCAN
GT1,GCA_003615215.1,RKL25979.1,Fusarium,proliferatum,dbCAN
GT20,GCA_001078535.1,CCI42261.1,Albugo,candida,dbCAN
GH3,GCA_003615185.1,RKL18115.1,Fusarium,oxysporum,dbCAN
CBM43,GCA_001078535.1,CCI10986.1,Albugo,candida,dbCAN
GT1,GCA_012295175.1,KAF4027384.1,Phytophthora,infestans,dbCAN
CE12,GCA_012656185.1,KAF4266250.1,Aspergillus,fumigatus,dbCAN
GH31,GCA_900029915.1,CVL08285.1,Fusarium,proliferatum,dbCAN
GT71,GCA_012552325.1,KAF4143138.1,Phytophthora,infestans,dbCAN
GH28,GCA_000509485.1,ETL36164.1,Phytophthora,parasitica,dbCAN
AA6,GCF_004355905.1,XP_030984601.1,Magnaporthe,grisea,dbCAN
GH63,GCA_001078535.1,CCI44751.1,Albugo,candida,dbCAN
GT66,GCA_001078535.1,CCI41729.1,Albugo,candida,dbCAN
AA3,GCA_002211485.2,TPR02361.1,Aspergillus,niger,dbCAN
GT4,GCA_900044135.1,CEF73009.1,Fusarium,graminearum,CAZy
PL1,GCA_000509485.1,ETL28274.1,Phytophthora,parasitica,dbCAN
CE1,GCA_900248155.1,SPB46475.1,Aspergillus,niger,dbCAN
GT1,GCA_900044135.1,CEF88115.1,Fusarium,graminearum,CAZy
GT71,GCF_900000015.1,XP_024583901.1,Plasmopara,halstedii,dbCAN
GH3,GCA_900074885.1,CZS87978.1,Rhynchosporium,commune,dbCAN
GH16,GCA_004346965.1,QBZ63202.1,Magnaporthe,oryzae,dbCAN
GH13,GCA_003615165.1,RKK84451.1,Fusarium,oxysporum,dbCAN
GH5,GCA_000509485.1,ETL30143.1,Phytophthora,parasitica,dbCAN
GH38,GCF_000002855.3,XP_001400300.1,Aspergillus,niger,dbCAN
PL1,GCF_004355905.1,XP_030976915.1,Magnaporthe,grisea,dbCAN
CE9,GCA_002234955.1,OXN29641.1,Aspergillus,fumigatus,dbCAN
GH5,GCA_012295175.1,KAF4043175.1,Phytophthora,infestans,dbCAN
GH76,GCA_900029915.1,CVK89377.1,Fusarium,proliferatum,dbCAN
GH5,GCA_900074885.1,CZT08304.1,Rhynchosporium,commune,dbCAN
GH29,GCA_900248155.1,SPB44878.1,Aspergillus,niger,dbCAN
GH125,GCA_900074885.1,CZS90568.1,Rhynchosporium,commune,dbCAN
GT64,GCA_002894145.1,PNP51679.1,Trichoderma,harzianum,dbCAN
CBM1,GCA_003615165.1,RKK91819.1,Fusarium,oxysporum,dbCAN
GT39,GCA_003290285.1,RBA11376.1,Fusarium,proliferatum,dbCAN
